MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
27.0,4,97.0,88.0,2100.0,16.5,72,3
27.5,4,134.0,95.0,2560.0,14.2,78,3
14.0,8,302.0,140.0,4638.0,16.0,74,1
17.0,8,305.0,130.0,3840.0,15.4,79,1
13.0,8,302.0,129.0,3169.0,12.0,75,1
20.3,5,131.0,103.0,2830.0,15.9,78,2
29.5,4,98.0,68.0,2135.0,16.6,78,3
25.0,6,181.0,110.0,2945.0,16.4,82,1
30.7,6,145.0,76.0,3160.0,19.6,81,2
26.0,4,97.0,75.0,2265.0,18.2,77,3
28.0,4,97.0,92.0,2288.0,17.0,72,3
33.7,4,107.0,75.0,2210.0,14.4,81,3
32.0,4,85.0,70.0,1990.0,17.0,76,3
34.4,4,98.0,65.0,2045.0,16.2,81,1
16.0,8,400.0,230.0,4278.0,9.5,73,1
34.5,4,105.0,70.0,2150.0,14.9,79,1
19.2,8,305.0,145.0,3425.0,13.2,78,1
17.5,8,318.0,140.0,4080.0,13.7,78,1
20.8,6,200.0,85.0,3070.0,16.7,78,1
17.6,6,225.0,85.0,3465.0,16.6,81,1
28.0,4,97.0,75.0,2155.0,16.4,76,3
26.4,4,140.0,88.0,2870.0,18.1,80,1
26.0,4,116.0,75.0,2246.0,14.0,74,2
16.2,6,163.0,133.0,3410.0,15.8,78,2
20.2,6,200.0,88.0,3060.0,17.1,81,1
18.0,6,232.0,100.0,2945.0,16.0,73,1
15.0,8,390.0,190.0,3850.0,8.5,70,1
26.6,4,151.0,84.0,2635.0,16.4,81,1
24.0,4,140.0,92.0,2865.0,16.4,82,1
32.2,4,108.0,75.0,2265.0,15.2,80,3
27.2,4,119.0,97.0,2300.0,14.7,78,3
19.0,6,232.0,100.0,2634.0,13.0,71,1
34.1,4,91.0,68.0,1985.0,16.0,81,3
25.0,4,116.0,81.0,2220.0,16.9,76,2
25.0,4,110.0,87.0,2672.0,17.5,70,2
14.5,8,351.0,152.0,4215.0,12.8,76,1
22.0,4,122.0,86.0,2395.0,16.0,72,1
16.0,6,250.0,100.0,3278.0,18.0,73,1
32.1,4,98.0,70.0,2120.0,15.5,80,1
17.7,6,231.0,165.0,3445.0,13.4,78,1
46.6,4,86.0,65.0,2110.0,17.9,80,3
19.0,3,70.0,97.0,2330.0,13.5,72,3
21.0,6,231.0,110.0,3039.0,15.0,75,1
17.6,8,302.0,129.0,3725.0,13.4,79,1
37.0,4,119.0,92.0,2434.0,15.0,80,3
20.0,4,97.0,88.0,2279.0,19.0,73,3
37.7,4,89.0,62.0,2050.0,17.3,81,3
37.2,4,86.0,65.0,2019.0,16.4,80,3
23.0,4,140.0,78.0,2592.0,18.5,75,1
13.0,8,351.0,158.0,4363.0,13.0,73,1
21.5,6,231.0,115.0,3245.0,15.4,79,1
20.2,6,200.0,85.0,2965.0,15.8,78,1
21.0,4,140.0,72.0,2401.0,19.5,73,1
13.0,8,307.0,130.0,4098.0,14.0,72,1
18.0,8,318.0,150.0,3436.0,11.0,70,1
29.0,4,85.0,52.0,2035.0,22.2,76,1
31.0,4,91.0,68.0,1970.0,17.6,82,3
16.0,8,304.0,150.0,3433.0,12.0,70,1
30.0,4,135.0,84.0,2385.0,12.9,81,1
27.0,4,97.0,88.0,2130.0,14.5,71,3
31.0,4,71.0,65.0,1773.0,19.0,71,3
23.0,4,120.0,97.0,2506.0,14.5,72,3
20.0,6,232.0,100.0,2914.0,16.0,75,1
16.0,6,258.0,110.0,3632.0,18.0,74,1
34.0,4,112.0,88.0,2395.0,18.0,82,1
20.2,8,302.0,139.0,3570.0,12.8,78,1
23.0,4,122.0,86.0,2220.0,14.0,71,1
14.0,8,304.0,150.0,3672.0,11.5,73,1
17.5,8,305.0,140.0,4215.0,13.0,76,1
26.8,6,173.0,115.0,2700.0,12.9,79,1
16.5,6,168.0,120.0,3820.0,16.7,76,2
29.0,4,98.0,83.0,2219.0,16.5,74,2
30.0,4,146.0,67.0,3250.0,21.8,80,2
15.0,6,250.0,72.0,3432.0,21.0,75,1
15.0,8,318.0,150.0,3399.0,11.0,73,1
17.0,8,260.0,110.0,4060.0,19.0,77,1
21.6,4,121.0,115.0,2795.0,15.7,78,2
43.1,4,90.0,48.0,1985.0,21.5,78,2
29.0,4,97.0,78.0,1940.0,14.5,77,2
18.1,6,258.0,120.0,3410.0,15.1,78,1
27.2,4,141.0,71.0,3190.0,24.8,79,2
29.8,4,134.0,90.0,2711.0,15.5,80,3
18.0,6,199.0,97.0,2774.0,15.5,70,1
22.5,6,232.0,90.0,3085.0,17.6,76,1
30.5,4,98.0,63.0,2051.0,17.0,77,1
34.3,4,97.0,78.0,2188.0,15.8,80,2
23.0,8,350.0,125.0,3900.0,17.4,79,1
17.0,6,250.0,100.0,3329.0,15.5,71,1
12.0,8,429.0,198.0,4952.0,11.5,73,1
16.0,6,225.0,105.0,3439.0,15.5,71,1
20.5,6,231.0,105.0,3425.0,16.9,77,1
18.5,6,250.0,110.0,3645.0,16.2,76,1
19.0,6,156.0,108.0,2930.0,15.5,76,3
19.9,8,260.0,110.0,3365.0,15.5,78,1
13.0,8,400.0,175.0,5140.0,12.0,71,1
31.0,4,79.0,67.0,1950.0,19.0,74,3
21.0,4,120.0,87.0,2979.0,19.5,72,2
18.2,8,318.0,135.0,3830.0,15.2,79,1
26.0,4,91.0,70.0,1955.0,20.5,71,1
12.0,8,455.0,225.0,4951.0,11.0,73,1
35.0,4,122.0,88.0,2500.0,15.1,80,2
34.5,4,100.0,93.5,2320.0,15.8,81,2
20.5,6,225.0,100.0,3430.0,17.2,78,1
31.0,4,112.0,85.0,2575.0,16.2,82,1
21.0,6,155.0,107.0,2472.0,14.0,73,1
13.0,8,350.0,155.0,4502.0,13.5,72,1
15.0,8,400.0,150.0,3761.0,9.5,70,1
27.0,4,140.0,86.0,2790.0,15.6,82,1
28.4,4,151.0,90.0,2670.0,16.0,79,1
19.0,4,122.0,85.0,2310.0,18.5,73,1
19.0,6,225.0,100.0,3630.0,17.7,77,1
22.0,4,121.0,98.0,2945.0,14.5,75,2
25.0,4,113.0,95.0,2228.0,14.0,71,3
15.5,8,350.0,170.0,4165.0,11.4,77,1
20.0,8,262.0,110.0,3221.0,13.5,75,1
15.5,8,400.0,190.0,4325.0,12.2,77,1
17.5,8,305.0,145.0,3880.0,12.5,77,1
36.0,4,135.0,84.0,2370.0,13.0,82,1
18.0,6,232.0,100.0,3288.0,15.5,71,1
13.0,8,318.0,150.0,3755.0,14.0,76,1
27.9,4,156.0,105.0,2800.0,14.4,80,1
22.0,6,225.0,100.0,3233.0,15.4,76,1
25.0,4,104.0,95.0,2375.0,17.5,70,2
25.4,5,183.0,77.0,3530.0,20.1,79,2
29.0,4,135.0,84.0,2525.0,16.0,82,1
25.5,4,140.0,89.0,2755.0,15.8,77,1
19.0,6,232.0,100.0,2901.0,16.0,74,1
19.2,8,267.0,125.0,3605.0,15.0,79,1
13.0,8,400.0,190.0,4422.0,12.5,72,1
44.6,4,91.0,67.0,1850.0,13.8,80,3
24.0,4,107.0,90.0,2430.0,14.5,70,2
18.6,6,225.0,110.0,3620.0,18.7,78,1
34.1,4,86.0,65.0,1975.0,15.2,79,3
37.0,4,85.0,65.0,1975.0,19.4,81,3
18.0,6,225.0,105.0,3613.0,16.5,74,1
28.8,6,173.0,115.0,2595.0,11.3,79,1
29.0,4,90.0,70.0,1937.0,14.0,75,2
22.3,4,140.0,88.0,2890.0,17.3,79,1
10.0,8,360.0,215.0,4615.0,14.0,70,1
24.0,6,200.0,81.0,3012.0,17.6,76,1
12.0,8,383.0,180.0,4955.0,11.5,71,1
15.0,6,258.0,110.0,3730.0,19.0,75,1
36.0,4,107.0,75.0,2205.0,14.5,82,3
28.0,4,116.0,90.0,2123.0,14.0,71,2
11.0,8,429.0,208.0,4633.0,11.0,72,1
30.9,4,105.0,75.0,2230.0,14.5,78,1
29.0,4,90.0,70.0,1937.0,14.2,76,2
28.0,4,98.0,80.0,2164.0,15.0,72,1
9.0,8,304.0,193.0,4732.0,18.5,70,1
20.0,4,140.0,90.0,2408.0,19.5,72,1
22.0,4,140.0,72.0,2408.0,19.0,71,1
23.2,4,156.0,105.0,2745.0,16.7,78,1
36.0,4,79.0,58.0,1825.0,18.6,77,2
15.0,8,429.0,198.0,4341.0,10.0,70,1
18.0,8,307.0,130.0,3504.0,12.0,70,1
31.8,4,85.0,65.0,2020.0,19.2,79,3
34.7,4,105.0,63.0,2215.0,14.9,81,1
26.0,4,97.0,46.0,1835.0,20.5,70,2
27.0,4,101.0,83.0,2202.0,15.3,76,2
23.0,4,120.0,88.0,2957.0,17.0,75,2
25.0,4,90.0,71.0,2223.0,16.5,75,2
19.0,4,120.0,88.0,3270.0,21.9,76,2
25.5,4,122.0,96.0,2300.0,15.5,77,1
18.0,6,225.0,95.0,3785.0,19.0,75,1
32.0,4,71.0,65.0,1836.0,21.0,74,3
18.0,4,121.0,112.0,2933.0,14.5,72,2
24.0,4,119.0,97.0,2545.0,17.0,75,3
23.8,4,151.0,85.0,2855.0,17.6,78,1
20.0,4,114.0,91.0,2582.0,14.0,73,2
36.4,5,121.0,67.0,2950.0,19.9,80,2
16.0,6,250.0,100.0,3781.0,17.0,74,1
37.3,4,91.0,69.0,2130.0,14.7,79,2
43.4,4,90.0,48.0,2335.0,23.7,80,2
27.0,4,97.0,60.0,1834.0,19.0,71,2
13.0,8,302.0,130.0,3870.0,15.0,76,1
20.0,6,198.0,95.0,3102.0,16.5,74,1
22.0,6,146.0,97.0,2815.0,14.5,77,3
14.0,8,350.0,165.0,4209.0,12.0,71,1
36.0,4,120.0,88.0,2160.0,14.5,82,3
14.0,8,340.0,160.0,3609.0,8.0,70,1
13.0,8,400.0,170.0,4746.0,12.0,71,1
28.0,4,140.0,90.0,2264.0,15.5,71,1
18.0,6,258.0,110.0,2962.0,13.5,71,1
28.1,4,141.0,80.0,3230.0,20.4,81,2
32.0,4,91.0,67.0,1965.0,15.7,82,3
24.5,4,98.0,60.0,2164.0,22.1,76,1
19.1,6,225.0,90.0,3381.0,18.7,80,1
36.0,4,105.0,74.0,1980.0,15.3,82,2
25.0,4,121.0,115.0,2671.0,13.5,75,2
15.5,8,304.0,120.0,3962.0,13.9,76,1
23.7,3,70.0,100.0,2420.0,12.5,80,3
29.9,4,98.0,65.0,2380.0,20.7,81,1
34.2,4,105.0,70.0,2200.0,13.2,79,1
27.2,4,135.0,84.0,2490.0,15.7,81,1
35.1,4,81.0,60.0,1760.0,16.1,81,3
23.9,8,260.0,90.0,3420.0,22.2,79,1
14.0,8,302.0,137.0,4042.0,14.5,73,1
14.0,8,318.0,150.0,4237.0,14.5,73,1
17.5,6,258.0,95.0,3193.0,17.8,76,1
16.0,8,318.0,150.0,4498.0,14.5,75,1
29.5,4,97.0,71.0,1825.0,12.2,76,2
19.0,6,232.0,90.0,3211.0,17.0,75,1
14.0,8,318.0,150.0,4457.0,13.5,74,1
32.4,4,107.0,72.0,2290.0,17.0,80,3
15.0,8,318.0,150.0,3777.0,12.5,73,1
16.9,8,350.0,155.0,4360.0,14.9,79,1
21.5,4,121.0,110.0,2600.0,12.8,77,2
26.0,4,98.0,79.0,2255.0,17.7,76,1
15.0,8,304.0,150.0,3892.0,12.5,72,1
18.0,6,232.0,100.0,2789.0,15.0,73,1
37.0,4,91.0,68.0,2025.0,18.2,82,3
23.0,4,140.0,83.0,2639.0,17.0,75,1
30.0,4,97.0,67.0,1985.0,16.4,77,3
28.0,4,112.0,88.0,2605.0,19.6,82,1
18.5,6,250.0,98.0,3525.0,19.0,77,1
13.0,8,400.0,150.0,4464.0,12.0,73,1
19.0,6,225.0,95.0,3264.0,16.0,75,1
14.0,8,455.0,225.0,4425.0,10.0,70,1
20.6,6,231.0,105.0,3380.0,15.8,78,1
16.5,8,350.0,180.0,4380.0,12.1,76,1
21.1,4,134.0,95.0,2515.0,14.8,78,3
13.0,8,350.0,150.0,4699.0,14.5,74,1
13.0,8,302.0,140.0,4294.0,16.0,72,1
22.0,6,198.0,95.0,2833.0,15.5,70,1
22.4,6,231.0,110.0,3415.0,15.8,81,1
22.0,4,121.0,76.0,2511.0,18.0,72,2
13.0,8,350.0,145.0,3988.0,13.0,73,1
33.0,4,91.0,53.0,1795.0,17.4,76,3
33.5,4,98.0,83.0,2075.0,15.9,77,1
13.0,8,318.0,150.0,3940.0,13.2,76,1
27.0,4,112.0,88.0,2640.0,18.6,82,1
18.0,6,250.0,105.0,3459.0,16.0,75,1
19.0,6,250.0,88.0,3302.0,15.5,71,1
15.0,8,350.0,165.0,3693.0,11.5,70,1
17.0,8,302.0,140.0,3449.0,10.5,70,1
27.0,4,151.0,90.0,2950.0,17.3,82,1
23.0,4,115.0,95.0,2694.0,15.0,75,2
33.8,4,97.0,67.0,2145.0,18.0,80,3
38.0,4,105.0,63.0,2125.0,14.7,82,1
20.0,4,130.0,102.0,3150.0,15.7,76,2
18.1,8,302.0,139.0,3205.0,11.2,78,1
18.0,3,70.0,90.0,2124.0,13.5,73,3
27.4,4,121.0,80.0,2670.0,15.0,79,1
12.0,8,400.0,167.0,4906.0,12.5,73,1
32.3,4,97.0,67.0,2065.0,17.8,81,3
39.1,4,79.0,58.0,1755.0,16.9,81,3
15.0,8,350.0,145.0,4082.0,13.0,73,1
31.9,4,89.0,71.0,1925.0,14.0,79,2
38.0,6,262.0,85.0,3015.0,17.0,82,1
15.0,8,318.0,150.0,4135.0,13.5,72,1
26.0,4,122.0,80.0,2451.0,16.5,74,1
13.0,8,360.0,175.0,3821.0,11.0,73,1
25.0,4,98.0,93.5,2046.0,19.0,71,1
40.8,4,85.0,65.0,2110.0,19.2,80,3
36.1,4,91.0,60.0,1800.0,16.4,78,3
33.5,4,85.0,70.0,1945.0,16.8,77,3
28.0,4,120.0,79.0,2625.0,18.6,82,1
32.4,4,108.0,75.0,2350.0,16.8,81,3
13.0,8,350.0,165.0,4274.0,12.0,72,1
19.0,4,121.0,112.0,2868.0,15.5,73,2
31.0,4,119.0,82.0,2720.0,19.4,82,1
10.0,8,307.0,200.0,4376.0,15.0,70,1
21.0,6,200.0,93.5,2875.0,17.0,74,1
44.3,4,90.0,48.0,2085.0,21.7,80,2
30.0,4,88.0,76.0,2065.0,14.5,71,2
26.0,4,121.0,113.0,2234.0,12.5,70,2
27.0,4,151.0,90.0,2735.0,18.0,82,1
21.0,4,122.0,86.0,2226.0,16.5,72,1
15.0,8,383.0,170.0,3563.0,10.0,70,1
23.0,4,97.0,54.0,2254.0,23.5,72,2
29.0,4,97.0,75.0,2171.0,16.0,75,3
15.0,8,302.0,130.0,4295.0,14.9,77,1
20.0,6,225.0,100.0,3651.0,17.7,76,1
18.0,6,225.0,105.0,3121.0,16.5,73,1
16.5,8,351.0,138.0,3955.0,13.2,79,1
24.0,4,90.0,75.0,2108.0,15.5,74,2
16.0,8,400.0,170.0,4668.0,11.5,75,1
32.0,4,135.0,84.0,2295.0,11.6,82,1
24.0,4,113.0,95.0,2372.0,15.0,70,3
24.2,6,146.0,120.0,2930.0,13.8,81,3
